buying,maint,doors,persons,lug_boot,safety,class
vhigh,vhigh,2,2,small,low,good
vhigh,vhigh,2,2,small,med,good
vhigh,vhigh,2,2,small,high,good
vhigh,vhigh,2,2,med,low,good
vhigh,vhigh,2,2,med,med,good
vhigh,vhigh,2,2,med,high,good
vhigh,vhigh,2,2,big,low,good
vhigh,vhigh,2,2,big,med,good
vhigh,vhigh,2,2,big,high,good
vhigh,vhigh,2,4,small,low,good
vhigh,vhigh,2,4,small,med,good
vhigh,vhigh,2,4,small,high,good
vhigh,vhigh,2,4,med,low,good
vhigh,vhigh,2,4,med,med,good
vhigh,vhigh,2,4,med,high,good
vhigh,vhigh,2,4,big,low,good
vhigh,vhigh,2,4,big,med,good
vhigh,vhigh,2,4,big,high,good
vhigh,vhigh,2,more,small,low,good
vhigh,vhigh,2,more,small,med,good
vhigh,vhigh,2,more,small,high,good
vhigh,vhigh,2,more,med,low,good
vhigh,vhigh,2,more,med,med,good
vhigh,vhigh,2,more,med,high,good
vhigh,vhigh,2,more,big,low,good
vhigh,vhigh,2,more,big,med,good
vhigh,vhigh,2,more,big,high,good
vhigh,vhigh,3,2,small,low,good
vhigh,vhigh,3,2,small,med,good
vhigh,vhigh,3,2,small,high,good
vhigh,vhigh,3,2,med,low,good
vhigh,vhigh,3,2,med,med,good
vhigh,vhigh,3,2,med,high,good
vhigh,vhigh,3,2,big,low,good
vhigh,vhigh,3,2,big,med,good
vhigh,vhigh,3,2,big,high,good
vhigh,vhigh,3,4,small,low,good
vhigh,vhigh,3,4,small,med,good
vhigh,vhigh,3,4,small,high,good
vhigh,vhigh,3,4,med,low,good
vhigh,vhigh,3,4,med,med,good
vhigh,vhigh,3,4,med,high,good
vhigh,vhigh,3,4,big,low,good
vhigh,vhigh,3,4,big,med,good
vhigh,vhigh,3,4,big,high,good
vhigh,vhigh,3,more,small,low,good
vhigh,vhigh,3,more,small,med,good
vhigh,vhigh,3,more,small,high,good
vhigh,vhigh,3,more,med,low,good
vhigh,vhigh,3,more,med,med,good
vhigh,vhigh,3,more,med,high,good
vhigh,vhigh,3,more,big,low,good
vhigh,vhigh,3,more,big,med,good
vhigh,vhigh,3,more,big,high,good
vhigh,vhigh,4,2,small,low,good
vhigh,vhigh,4,2,small,med,good
vhigh,vhigh,4,2,small,high,good
vhigh,vhigh,4,2,med,low,good
vhigh,vhigh,4,2,med,med,good
vhigh,vhigh,4,2,med,high,good
vhigh,vhigh,4,2,big,low,good
vhigh,vhigh,4,2,big,med,good
vhigh,vhigh,4,2,big,high,good
vhigh,vhigh,4,4,small,low,good
vhigh,vhigh,4,4,small,med,good
vhigh,vhigh,4,4,small,high,good
vhigh,vhigh,4,4,med,low,good
vhigh,vhigh,4,4,med,med,good
vhigh,vhigh,4,4,med,high,good
vhigh,vhigh,4,4,big,low,good
vhigh,vhigh,4,4,big,med,good
vhigh,vhigh,4,4,big,high,good
vhigh,vhigh,4,more,small,low,good
vhigh,vhigh,4,more,small,med,good
vhigh,vhigh,4,more,small,high,good
vhigh,vhigh,4,more,med,low,good
vhigh,vhigh,4,more,med,med,good
vhigh,vhigh,4,more,med,high,good
vhigh,vhigh,4,more,big,low,good
vhigh,vhigh,4,more,big,med,good
vhigh,vhigh,4,more,big,high,good
vhigh,vhigh,5more,2,small,low,good
vhigh,vhigh,5more,2,small,med,good
vhigh,vhigh,5more,2,small,high,good
vhigh,vhigh,5more,2,med,low,good
vhigh,vhigh,5more,2,med,med,good
vhigh,vhigh,5more,2,med,high,good
vhigh,vhigh,5more,2,big,low,good
